UNITID,INSTNM,ADDR,CITY,STABBR,ZIP,WEBADDR,HBCU,CYACTIVE,LATITUDE,LONGITUD
199102,"North Carolina A & T State University","1601 E Market  St","Greensboro",NC,27411,www.ncat.edu/,1,1,36.07282,-79.773375
199157,"North Carolina Central University","1801 Fayetteville Street","Durham",NC,27707,https://www.nccu.edu/,1,1,35.974237,-78.898602
199582,"Saint Augustine's University","1315 Oakwood Avenue","Raleigh",NC,27610-2298,www.st-aug.edu/,1,1,35.785468,-78.621301
199643,"Shaw University","118 East South Street","Raleigh",NC,27601,www.shawu.edu/,1,1,35.771181,-78.637693
199999,"Winston-Salem State University","601 S. Martin Luther King Jr Dr","Winston-Salem",NC,27110-0001,https://www.wssu.edu/,1,1,36.089554,-80.225033
201690,"Central State University","1400 Brush Row Rd","Wilberforce",OH,45384-1004,https://www.centralstate.edu/,1,1,39.715787,-83.880186
206491,"Wilberforce University","1055 N Bickett Rd","Wilberforce",OH,45384-1001,www.wilberforce.edu/,1,1,39.707291,-83.880595
207209,"Langston University","701 Sammy Davis Jr. Drive","Langston",OK,73050,www.langston.edu/,1,1,35.943982,-97.260317
211608,"Cheyney University of Pennsylvania","1837 University Circle","Cheyney",PA,19319-0200,https://www.cheyney.edu/,1,1,39.932274,-75.529262
213598,"Lincoln University","1570 Baltimore Pike","Lincoln University",PA,19352-0999,www.lincoln.edu/,1,1,39.807723,-75.926458
217624,"Allen University","1530 Harden Street","Columbia",SC,29204,https://www.allenuniversity.edu/,1,1,34.010348,-81.020045
217721,"Benedict College","1600 Harden Street","Columbia",SC,29204-1086,www.benedict.edu/,1,1,34.012941,-81.020403
217873,"Claflin University","400 Magnolia Street","Orangeburg",SC,29115-4498,www.claflin.edu/,1,1,33.498444,-80.854319
217891,"Clinton College","1029 Crawford Rd","Rock Hill",SC,29730,www.clintoncollege.edu/,1,1,34.913721,-81.043469
217989,"Denmark Technical College","1126 Solomon Blatt Blvd","Denmark",SC,29042,www.denmarktech.edu/,1,1,33.313355,-81.123629
218399,"Morris College","100 West College Street","Sumter",SC,29150-3599,https://www.morris.edu/,1,1,33.938574,-80.346155
218733,"South Carolina State University","300 College St NE","Orangeburg",SC,29117-0001,https://scsu.edu/,1,1,33.497968,-80.848722
218919,"Voorhees University","1897 Voorhees Road","Denmark",SC,29042,https://www.voorhees.edu/,1,1,33.307199,-81.127863
219505,"American Baptist College","1800 Baptist World Ctr Dr","Nashville",TN,37207-9980,www.abcnash.edu/,1,1,36.202623,-86.789912
220181,"Fisk University","1000 17th Ave North","Nashville",TN,37208-4501,www.fisk.edu/,1,1,36.167087,-86.804805
220598,"Lane College","545 Lane Ave","Jackson",TN,38301-4598,www.lanecollege.edu/,1,1,35.627378,-88.806535
220604,"Le Moyne-Owen College","807 Walker Ave","Memphis",TN,38126-6595,www.loc.edu/,1,1,35.118641,-90.034101
220792,"Meharry Medical College","1005 DB Todd Blvd.","Nashville",TN,37208,www.mmc.edu/,1,1,36.165458,-86.807371
221838,"Tennessee State University","3500 John A. Merritt Blvd","Nashville",TN,37209-1561,www.tnstate.edu/,1,1,36.166321,-86.828275
225575,"Huston-Tillotson University","900 Chicon St","Austin",TX,78702-2795,www.htu.edu/,1,1,30.264667,-97.721691
225885,"Jarvis Christian University","PR 7631, Hwy 80 E","Hawkins",TX,75765-1470,www.jarvis.edu/,1,1,32.587942,-95.181513
227429,"Paul Quinn College","3837 Simpson Stuart Rd","Dallas",TX,75241,https://paulquinn.edu/,1,1,32.678837,-96.755778
227526,"Prairie View A & M University","FM 1098 Road & University Drive","Prairie View",TX,77446,www.pvamu.edu/,1,1,30.092425,-95.989475
227854,"St Philip's College","1801 Martin Luther King Dr","San Antonio",TX,78203-2098,www.alamo.edu/spc/,1,1,29.41508,-98.453285
228486,"Southwestern Christian College","200 Bowser Circle","Terrell",TX,75160-4812,www.swcc.edu/,1,1,32.735508,-96.285649
228884,"Texas College","2404 N. Grand Avenue","Tyler",TX,75702,www.texascollege.edu/,1,1,32.37456,-95.312454
229063,"Texas Southern University","3100 Cleburne St","Houston",TX,77004,www.tsu.edu/,1,1,29.721046,-95.361113
229887,"Wiley University","711 Wiley Ave","Marshall",TX,75670,wileyc.edu/,1,1,32.537641,-94.376814
232265,"Hampton University","200 William R. Harvey Way","Hampton",VA,23668-0099,www.hamptonu.edu/,1,1,37.019944,-76.339161
232937,"Norfolk State University","700 Park Avenue","Norfolk",VA,23504-8000,www.nsu.edu/,1,1,36.848429,-76.261375
234137,"Virginia University of Lynchburg","2058 Garfield Ave","Lynchburg",VA,24501,www.vul.edu/,1,1,37.395187,-79.151615
234155,"Virginia State University","1 Hayden Drive","Petersburg",VA,23806,www.vsu.edu/,1,1,37.234692,-77.419026
234164,"Virginia Union University","1500 N Lombardy St","Richmond",VA,23220,www.vuu.edu/,1,1,37.562405,-77.450903
237215,"Bluefield State University","219 Rock Street","Bluefield",WV,24701-2198,https://bluefieldstate.edu/,1,1,37.265732,-81.239037
237899,"West Virginia State University","Rte 25","Institute",WV,25112-1000,www.wvstateu.edu/,1,1,38.380541,-81.765034
243665,"University of the Virgin Islands","2 John Brewers Bay","Charlotte Amalie",VI,00802-9990,www.uvi.edu/,1,1,18.344193,-64.972866
440916,"Southern University Law Center","","Baton Rouge",LA,70813,www.sulc.edu/,1,1,30.523898,-91.194417
461759,"Simmons College of Kentucky","1018 South 7th Street","Louisville",KY,40203-3322,https://simmonscollegeky.edu/,1,1,38.239519,-85.764811
